Date,Auditor,Filename,Passed
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00033.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00038.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00048.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00053.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00055.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00074.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00095.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00113.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00126.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00127.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00138.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00142.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00170.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00183.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00195.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00204.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00205.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00224.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00229.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00240.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00255.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00260.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Feb1899-Aug1903_M_00263.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00276.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00283.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00298.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00308.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00335.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00349.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00358.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00361.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00362.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00377.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00388.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899a_M_00390.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00023.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00026.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00042.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00051.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00052.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00054.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00055.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00063.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00083.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00101.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00104.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00105.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00108.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00118.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00128.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00132.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00135.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00160.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00165.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00167.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00197.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00206.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00229.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00250.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00256.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00258.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00261.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Jun1894-Feb1899_M_00264.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00003.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00010.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00023.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00024.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00027.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00030.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00048.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00052.tif,Y
