OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
148,0,70,CALEDON,STREET,,
149,0,72,CALEDON,STREET,,
150,0,74,CALEDON,GLYNNDALE,,
151,0,78,CALEDON,STREET,,
152,0,80,CALEDON,STREET,,
153,0,82,CALEDON,STREET,,
154,0,53,HARRINGTON,STREET,,
155,0,54,HARRINGTON,STREET,,
156,0,38,GLYNNDALE,STREET,,
157,0,36,GLYNNDALE,STREET,,
158,0,40,CONSTITUTION,STREET,,
159,0,42,CONSTITUTION,STREET,,
160,0,6,GLYNNDALE,STREET,,
161,0,76,CALEDON,GLYNNDALE,,
162,0,9,GLYNNDALE,STREET,,
163,0,11,GLYNNDALE,STREET,,
164,0,13,GLYNNDALE,STREET,,
165,0,15,GLYNNDALE,STREET,,
166,0, ,GLYNNDALE,STREET,STORE,
167,0, ,GLYNNDALE,STREET,PRINTING WORKS,
168,0, ,CANTERBURY,STREET,OFFICE,
169,0, ,HARRINGTON,STREET,CHURCH,
170,0,49,HARRINGTON,STREET,,
171,0, ,GLYNNDALE,STREET,STORE,
172,0,29,CALEDON,STREET,,
173,0,31,CALEDON,STREET,,
174,0,33,CALEDON,STREET,,
175,0,35,CALEDON,STREET,,
176,0,37,CALEDON,STREET,,
177,0,39,CALEDON,STREET,,
178,0,41,CALEDON,CANTERBURY,,
179,0,53,CALEDON,PRIMROSE,,
180,0,43,CALEDON,CANTERBURY,,
181,0,45,CALEDON,STREET,,
182,0,49,CALEDON,STREET,,
183,0,51,CALEDON,STREET,,
184,0, ,CANTERBURY,STREET,WAREHOUSE,
185,0,47,CALEDON,STREET,,
186,0,84,CALEDON,STREET,,
187,0,86,CALEDON,STREET,,
188,0,88,CALEDON,STREET,,
189,0,8,CANTERBURY,STREET,,
190,0,10,CANTERBURY,STREET,,
191,0,12,CANTERBURY,STREET,,
192,0,14,CANTERBURY,STREET,,
193,0,16,CANTERBURY,STREET,,
194,0,23,CANTERBURY,STREET,,
195,0,25,CANTERBURY,STREET,,
196,0,27,CANTERBURY,STREET,,
197,0,29,CANTERBURY,STREET,,
198,0,31,CANTERBURY,STREET,,
199,0,33,CANTERBURY,STREET,,
200,0,18,PRIMROSE,STREET,,
201,0,20,PRIMROSE,STREET,,
202,0,22,PRIMROSE,STREET,,
203,0,26,PRIMROSE,STREET,,
204,0,24,PRIMROSE,STREET,,
205,0,28,PRIMROSE,STREET,,
206,0,30,PRIMROSE,STREET,,
207,0,32,PRIMROSE,STREET,,
