Street,ID,Match
,vol16_181.tif-3,False
COLLEGE,vol16_343.tif-1,True
COLLEGE,vol16_343.tif-2,True
CHATHAM,vol16_343.tif-3,True
WORCESTER,vol16_343.tif-4,True
RICHMOND,vol16_234.tif-4,True
GRANDVIEW,vol16_165.tif-4,False
STIRLING,vol16_366.tif-4,True
STIRLING,vol16_366.tif-3,True
,vol16_366.tif-2,False
ST VINCENT,vol16_366.tif-1,True
MILTON,vol16_363.tif-3,False
,vol16_130.tif-1,False
,vol16_130.tif-2,False
RUGTER,vol16_130.tif-3,False
SORREY,vol16_130.tif-4,False
HIGH,vol16_046.tif-4,True
WINDSOR,vol16_046.tif-2,True
AMSTERDAM,vol16_046.tif-3,False
,vol16_046.tif-1,False
IRENE,vol16_399.tif-1,False
ARENDEL,vol16_140.tif-4,False
WILLIAM,vol16_399.tif-3,True
ALMAR,vol16_399.tif-2,False
PEDERSEN,vol16_140.tif-1,True
STUCKERIS,vol16_399.tif-4,True
SIR LOWRY,vol16_140.tif-3,True
VIRGINA,vol16_140.tif-2,False
ASPELING,vol16_292.tif-4,True
AYRE,vol16_292.tif-3,True
VICTORIA,vol16_292.tif-2,False
SECOND,vol16_292.tif-1,False
ERITH,vol16_388.tif-3,True
CHATHAM,vol16_388.tif-2,True
CHATHAM,vol16_388.tif-1,True
,vol16_388.tif-4,False
UPPER CONSTITUTION,vol16_221.tif-1,True
,vol16_221.tif-3,False
,vol16_221.tif-2,False
CHAPEL,vol16_221.tif-4,True
CONSTITUTION,vol16_375.tif-3,True
,vol16_375.tif-2,False
STONE,vol16_375.tif-1,True
DE VILLIERS,vol16_375.tif-4,True
CANNON,vol16_182.tif-3,True
CHAPEL,vol16_182.tif-2,True
,vol16_182.tif-1,False
RAVENSCRAIG,vol16_249.tif-4,True
COLLEGE,vol16_249.tif-3,True
CENTERBURY,vol16_249.tif-2,False
CENTERBURY,vol16_249.tif-1,False
LAVENDER,vol16_182.tif-4,True
VERNON,vol16_185.tif-1,True
AYRE,vol16_185.tif-2,True
AYRE,vol16_185.tif-3,True
ROOS,vol16_185.tif-4,True
QUEENS,vol16_301.tif-3,False
,vol16_163.tif-4,False
CHAPEL,vol16_263.tif-4,True
,vol16_263.tif-3,False
WRIGHT,vol16_263.tif-2,False
GRAND VIEW,vol16_263.tif-1,False
RICHARD,vol16_163.tif-3,False
PARKIN,vol16_373.tif-1,True
WILLIAM,vol16_134.tif-3,True
,vol16_215.tif-1,False
MAYNARD,vol16_373.tif-3,False
SMART,vol16_215.tif-3,True
LAVENDER,vol16_368.tif-1,True
LEE,vol16_053.tif-1,True
LEE,vol16_053.tif-2,True
MCGREGOR,vol16_053.tif-3,False
CANTERBURY,vol16_053.tif-4,False
QUEEN,vol16_368.tif-4,True
TILBURY,vol16_128.tif-4,True
,vol16_128.tif-3,False
SACKVILLE,vol16_128.tif-2,False
VAN DER MEULEN,vol16_128.tif-1,False
SIDNEY,vol16_307.tif-1,True
WILLIAM,vol16_307.tif-2,True
DUNCAN,vol16_307.tif-3,False
HARRINGTON,vol16_307.tif-4,True
CHATHAM,vol16_371.tif-4,True
,vol16_371.tif-3,False
DUKE,vol16_371.tif-2,False
CALEDON,vol16_371.tif-1,True
ASPELING,vol16_066.tif-4,True
ST JOHN'S,vol16_190.tif-3,False
UPPER CHURCH,vol16_190.tif-1,False
,vol16_287.tif-1,False
SMART,vol16_066.tif-1,True
CHAPEL,vol16_066.tif-2,True
VIRGINIA,vol16_066.tif-3,True
COLLEGE,vol16_311.tif-1,True
ROSE,vol16_311.tif-3,False
IRENE,vol16_311.tif-2,False
VICTORIA,vol16_311.tif-4,False
LEE,vol16_312.tif-4,True
STUCKERIS,vol16_312.tif-2,True
UPPER ASHLEY,vol16_312.tif-3,True
MOUNT,vol16_312.tif-1,True
STERLING,vol16_166.tif-4,False
PROSPECT,vol16_166.tif-1,True
VANDELAUS,vol16_166.tif-3,False
QUEENS,vol16_166.tif-2,False
ASPELING,vol16_242.tif-1,True
MOUNT,vol16_242.tif-2,True
ECKHARDT,vol16_242.tif-3,False
SHEPPARD,vol16_242.tif-4,True
COMBRINK,vol16_339.tif-3,True
MCKENZIE,vol16_339.tif-2,True
ROUWKOP,vol16_339.tif-1,False
COVENTRY,vol16_339.tif-4,False
HANOVER,vol16_205.tif-4,True
VAN DE LEUR,vol16_205.tif-3,True
COMMON,vol16_205.tif-2,False
MCGREGOR,vol16_205.tif-1,False
,vol16_035.tif-4,False
WORCESTER,vol16_082.tif-4,True
CONSTITUTION,vol16_082.tif-2,True
ASPELING,vol16_082.tif-3,True
SACKVILLE,vol16_082.tif-1,False
,vol16_232.tif-1,False
DE VILLIERS,vol16_232.tif-3,True
MOUNT,vol16_232.tif-2,True
LEWIS,vol16_232.tif-4,True
SMART,vol16_187.tif-2,True
,vol16_187.tif-3,False
SPRINGFIELD,vol16_231.tif-4,True
ORMSKIRK,vol16_187.tif-1,False
OFF ALBERT,vol16_231.tif-2,False
GRAND VIEW,vol16_231.tif-3,False
COLLEGE,vol16_187.tif-4,True
HANOVER,vol16_035.tif-1,True
TENANT,vol16_164.tif-4,False
CANTERBURY,vol16_164.tif-3,False
HANOVER,vol16_164.tif-2,True
CHESTER,vol16_164.tif-1,True
IRENE,vol16_063.tif-4,False
AYNE,vol16_063.tif-1,False
JAMIESON,vol16_063.tif-3,False
CONSTITUTION,vol16_063.tif-2,True
BROWN,vol16_183.tif-4,False
BROWN,vol16_183.tif-2,False
BROWN,vol16_183.tif-3,False
HAROLDENE,vol16_183.tif-1,False
KENT,vol16_061.tif-3,True
MARSDEN,vol16_363.tif-4,True
NILE,vol16_363.tif-2,True
WILLIAM,vol16_290.tif-3,True
ROGER,vol16_363.tif-1,True
BRIDGE,vol16_198.tif-2,True
,vol16_198.tif-3,False
BRUNT,vol16_198.tif-1,False
,vol16_198.tif-4,False
,vol16_132.tif-2,False
SUMMER,vol16_132.tif-3,True
RIEBACK,vol16_132.tif-1,False
