Row,File,Number,Name,Type,Other,City,Updated,Match,D6?,
68,vol16_017.tif-4,19,PLYMOUTH,ROAD,,CAPE TOWN,True,True,
69,vol16_018.tif-1,75,LONGMARKET,STREET,,CAPE TOWN,,True,
70,vol16_018.tif-2,53,LOADE,STREET,,CAPE TOWN,,,
71,vol16_018.tif-3,40,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
72,vol16_018.tif-4,3,MCINTYRE,LANE,OFF LONGMARKET ST,CAPE TOWN,,,
73,vol16_019.tif-1,3,MCINTYRE,LANE,OFF LONGMARKET ST,CAPE TOWN,,,
74,vol16_019.tif-2,3,MCINTYRE,LANE,OFF LONGMARKET ST,CAPE TOWN,,,
75,vol16_019.tif-3,13,RICHMOND,STREET,,CAPE TOWN,,True,
76,vol16_019.tif-4,60,PONTAC,STREET,,CAPE TOWN,,True,
77,vol16_020.tif-1,41,GRAY,STREET,,CAPE TOWN,,True,
78,vol16_020.tif-2,17,SIDNEY,STREET,,CAPE TOWN,,True,
79,vol16_020.tif-3,43,SACKSVILLE,STREET,,CAPE TOWN,True,True,
80,vol16_020.tif-4,85,ASPELING,STREET,,CAPE TOWN,,True,
81,vol16_021.tif-1,4,SOREY,LANE,OFF MOUNT STREET,CAPE TOWN,,,
82,vol16_021.tif-2,42,LEVER,STREET,,CAPE TOWN,,True,
83,vol16_021.tif-3,12,PARKIN,STREET,,CAPE TOWN,,True,
84,vol16_021.tif-4,191,LOOP,STREET,,CAPE TOWN,,,
85,vol16_022.tif-1,5,CROSS,LANE,,CAPE TOWN,,True,
86,vol16_022.tif-2,14 A,WILLIAM,STREET,,CAPE TOWN,,True,
87,vol16_022.tif-3,14 A,WILLIAM,STREET,,CAPE TOWN,,True,
88,vol16_022.tif-4,55,RUSSELL,STREET,,CAPE TOWN,,True,
89,vol16_023.tif-1,149,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
90,vol16_023.tif-2,39,VAN DE LEUR,STREET,,CAPE TOWN,,True,
91,vol16_023.tif-3,33,SPRINGFIELD,STREET,,CAPE TOWN,,True,
92,vol16_023.tif-4,31,MILTON,STREET,,CAPE TOWN,True,,
93,vol16_024.tif-1,14 A,STONE,STREET,,CAPE TOWN,,True,
94,vol16_024.tif-2,88,CONSTITUTION,STREET,,CAPE TOWN,,True,
95,vol16_024.tif-3,36,DE VILLIERS,STREET,,CAPE TOWN,True,True,
96,vol16_024.tif-4,4,TILBURY,STREET,,CAPE TOWN,,True,
97,vol16_025.tif-1,61,ELIZABETH,DRIVE,,ATHLONE,,,N
98,vol16_025.tif-2,69,CONSTITUTION,STREET,,CAPE TOWN,,True,
99,vol16_025.tif-3,115,ROELAND,STREET,,CAPE TOWN,,True,
100,vol16_025.tif-4,54,CHESTER,ROAD,WALMER ESTATE,CAPE TOWN,,True,
101,vol16_026.tif-1,54,CHESTER,ROAD,,CAPE TOWN,,True,
102,vol16_026.tif-2,57 A,CONSTITUTION,STREET,,CAPE TOWN,,True,
103,vol16_026.tif-3,10,CANNON,STREET,,CAPE TOWN,,True,
104,vol16_026.tif-4,37,VERNON,TERRACE,,CAPE TOWN,,True,
105,vol16_027.tif-1,20,PARKIN,STREET,,CAPE TOWN,,True,
106,vol16_027.tif-2,33,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
107,vol16_027.tif-3,66,QUEEN,STREET,,CAPE TOWN,,True,
108,vol16_027.tif-4,221,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
109,vol16_028.tif-1,46,ECKARD,STREET,,CAPE TOWN,,True,
110,vol16_028.tif-2,46,ECKARD,STREET,,CAPE TOWN,,True,
111,vol16_028.tif-3,43,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
112,vol16_028.tif-4,46,WILLIAM,STREET,,CAPE TOWN,True,True,
113,vol16_029.tif-1,99,CONSTITUTION,STREET,,CAPE TOWN,,True,
114,vol16_029.tif-2,10,ALBERT,STREET,,CAPE TOWN,,True,
115,vol16_029.tif-3,64,ASPELING,STREET,,CAPE TOWN,,True,
116,vol16_029.tif-4,64,DE VILLIERS,STREET,,CAPE TOWN,True,True,
117,vol16_030.tif-1,113,HANOVER,STREET,,CAPE TOWN,,True,
118,vol16_030.tif-2,26,MAWSEN,AVENUE,GARDEN VILLAGE,MAITLAND,,,N
119,vol16_030.tif-3,16,HANOVER,STREET,,CAPE TOWN,,True,
120,vol16_030.tif-4,16,HANOVER,STREET,,CAPE TOWN,,True,
121,vol16_031.tif-1,29,STONE,STREET,,CAPE TOWN,,True,
122,vol16_031.tif-2,106,SIR LOWRY,ROAD,,CAPE TOWN,,True,
123,vol16_031.tif-3,13,DUKE,STREET,,WOODSTOCK,,,N
124,vol16_031.tif-4,8,COFFEE,LANE,,CAPE TOWN,,,
125,vol16_032.tif-1,159,CONSTITUTION,STREET,BLOEMHOF FLATS,CAPE TOWN,,True,
126,vol16_032.tif-2,14,BEVERLEY,STREET,,ATHLONE CAPE,,,N
127,vol16_032.tif-3,132,HANOVER,STREET,,CAPE TOWN,,True,
128,vol16_032.tif-4,,KLOOF NEK,ROAD,HUGA VALE,,,,
129,vol16_033.tif-1,11,NEW MARKET,STREET,CITY GATES,CAPE TOWN,,True,
130,vol16_033.tif-2,60,ASPELING,,CANTERBURY FLATS,CAPE TOWN,True,True,
131,vol16_033.tif-3,15,SMART,STREET,,CAPE TOWN,,True,
132,vol16_033.tif-4,,CANTURBURY,STREET,TAFELBERG HOSTEL,CAPE TOWN,True,True,
133,vol16_034.tif-1,28,MAWSEU,AVENUE,,"GARDEN VILLAGES, MAITLAND",,,N
134,vol16_034.tif-2,207,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
135,vol16_034.tif-3,2,MARSDEN,ROAD,"FOREST VIEW, WALMER ESTATE",CAPE TOWN,,True,
136,vol16_034.tif-4,61,STUCKERIS,STREET,,CAPE TOWN,True,True,
137,vol16_035.tif-1,175,HANOVER,STREET,,CAPE TOWN,,True,
138,vol16_035.tif-2,4,ROBINSON,STREET,,CAPE TOWN,,True,
139,vol16_035.tif-3,72,VAN DE LEUR,STREET,,CAPE TOWN,,True,
140,vol16_035.tif-4,138,ASPELING,,BLOEMHOF FLATS,,True,True,
141,vol16_036.tif-1,48,SURREY,STREET,,GOODWOOD,,,N
142,vol16_036.tif-2,38,REFORM,STREET,,CAPE TOWN,,True,
